time,anon,kernel_stack,slab,sock,anon_thp,file
2025-07-07 14:18:23,20.40625,0.46875,165.59291,0.0039062,0,293.1484
2025-07-07 14:18:22,20.40625,0.46875,165.59291,0.0039062,0,293.1484
2025-07-07 14:18:21,20.40625,0.46875,165.59377,0.0039062,0,293.1484
2025-07-07 14:18:20,20.40625,0.46875,165.59291,0.0039062,0,293.1484
2025-07-07 14:18:19,20.40625,0.46875,165.59355,0.0039062,0,293.1484
2025-07-07 14:18:18,20.40625,0.46875,165.59355,0.0039062,0,293.1484
2025-07-07 14:18:17,20.40625,0.46875,165.59291,0.0039062,0,293.1484
2025-07-07 14:18:16,20.40625,0.46875,165.59291,0.0039062,0,293.1484
2025-07-07 14:18:15,20.40625,0.46875,165.59462,0.0039062,0,293.1484
2025-07-07 14:18:14,20.40625,0.46875,165.59291,0.0039062,0,293.1484
2025-07-07 14:18:13,20.40625,0.46875,165.59291,0.0039062,0,293.1484
2025-07-07 14:18:12,20.40625,0.46875,165.59291,0.0039062,0,293.1484
2025-07-07 14:18:11,20.40625,0.46875,165.59291,0.0039062,0,293.1484
2025-07-07 14:18:10,20.40625,0.46875,165.59291,0.0039062,0,293.1484
2025-07-07 14:18:09,20.40625,0.46875,165.59291,0.0039062,0,293.1484
2025-07-07 14:18:08,20.40625,0.46875,165.59291,0.0039062,0,293.1484
2025-07-07 14:18:07,20.40625,0.46875,165.59291,0.0039062,0,293.1484
2025-07-07 14:18:06,20.40625,0.46875,165.59291,0.0039062,0,293.1484
2025-07-07 14:18:05,20.40625,0.46875,165.59291,0.0039062,0,293.1484
2025-07-07 14:18:04,20.40625,0.46875,165.59291,0.0039062,0,293.1484
2025-07-07 14:18:03,20.40625,0.46875,165.59291,0.0039062,0,293.1484
2025-07-07 14:18:02,20.40625,0.46875,165.59291,0.0039062,0,293.1484
2025-07-07 14:18:01,20.40625,0.46875,165.59291,0.0039062,0,293.1484
2025-07-07 14:18:00,20.40625,0.46875,165.59291,0.0039062,0,293.1484
2025-07-07 14:17:59,20.40625,0.46875,165.59291,0.0039062,0,293.1484
2025-07-07 14:17:58,20.40625,0.46875,165.59291,0.0039062,0,293.1484
2025-07-07 14:17:57,20.40625,0.46875,165.59291,0.0039062,0,293.1484
2025-07-07 14:17:56,20.40625,0.46875,165.59291,0.0039062,0,293.1484
2025-07-07 14:17:55,20.40625,0.46875,165.5928,0.0039062,0,293.1445
2025-07-07 14:17:54,20.40625,0.46875,165.5928,0.0039062,0,293.1445
2025-07-07 14:17:53,20.40625,0.46875,165.5928,0.0039062,0,293.1445
2025-07-07 14:17:52,20.40625,0.46875,165.5928,0.0039062,0,293.1445
2025-07-07 14:17:51,20.40625,0.46875,165.5928,0.0039062,0,293.1445
2025-07-07 14:17:50,20.40625,0.46875,165.5928,0.0039062,0,293.1445
2025-07-07 14:17:49,20.40625,0.46875,165.5928,0.0039062,0,293.1445
2025-07-07 14:17:48,20.40625,0.46875,165.5928,0.0039062,0,293.1445
2025-07-07 14:17:47,20.40625,0.46875,165.5928,0.0039062,0,293.1445
2025-07-07 14:17:46,20.40625,0.46875,165.5928,0.0039062,0,293.1445
2025-07-07 14:17:45,20.40625,0.46875,165.5928,0.0039062,0,293.1445
2025-07-07 14:17:44,20.40625,0.46875,165.59302,0.0039062,0,293.1445
2025-07-07 14:17:43,20.40625,0.46875,165.70781,0.0039062,0,293.1445
2025-07-07 14:17:42,20.40625,0.46875,165.70643,0.0039062,0,293.1445
2025-07-07 14:17:41,20.40625,0.46875,165.70908,0.0039062,0,293.1445
2025-07-07 14:17:40,20.40625,0.46875,165.71347,0.0039062,0,293.1445
2025-07-07 14:17:39,20.40625,0.46875,165.70771,0.0039062,0,293.1445
2025-07-07 14:17:38,20.40625,0.46875,165.67027,0.0039062,0,293.1445
2025-07-07 14:17:37,20.40625,0.46875,165.6148,0.0039062,0,293.1445
2025-07-07 14:17:36,20.40625,0.46875,165.6006,0.0039062,0,293.1445
2025-07-07 14:17:35,20.40625,0.46875,165.60516,0.0039062,0,293.1445
2025-07-07 14:17:34,20.40625,0.46875,165.59912,0.0039062,0,293.1445
2025-07-07 14:17:33,20.40625,0.46875,165.60928,0.0039062,0,293.1445
2025-07-07 14:17:32,20.40625,0.46875,165.60591,0.0039062,0,293.1445
2025-07-07 14:17:31,20.40625,0.46875,165.60529,0.0039062,0,293.1445
2025-07-07 14:17:30,20.40625,0.46875,165.59435,0.0039062,0,293.1445
2025-07-07 14:17:29,20.40625,0.46875,165.59743,0.0039062,0,293.1445
2025-07-07 14:17:28,20.40625,0.46875,165.59787,0.0039062,0,293.1445
2025-07-07 14:17:27,20.40625,0.46875,165.60856,0.0039062,0,293.1445
2025-07-07 14:17:26,20.40625,0.46875,165.60265,0.0039062,0,293.1445
