time,available,used
2025-07-07 11:15:31,231.4453,280.5547
2025-07-07 11:15:30,231.4453,280.5547
2025-07-07 11:15:29,231.4453,280.5547
2025-07-07 11:15:28,231.4453,280.5547
2025-07-07 11:15:27,231.4453,280.5547
2025-07-07 11:15:26,231.4453,280.5547
2025-07-07 11:15:25,231.4453,280.5547
2025-07-07 11:15:24,231.4453,280.5547
2025-07-07 11:15:23,231.4453,280.5547
2025-07-07 11:15:22,231.4453,280.5547
2025-07-07 11:15:21,231.4453,280.5547
2025-07-07 11:15:20,231.4453,280.5547
2025-07-07 11:15:19,231.4453,280.5547
2025-07-07 11:15:18,231.4453,280.5547
2025-07-07 11:15:17,231.4453,280.5547
2025-07-07 11:15:16,231.4453,280.5547
2025-07-07 11:15:15,231.4453,280.5547
2025-07-07 11:15:14,231.4453,280.5547
2025-07-07 11:15:13,231.4453,280.5547
2025-07-07 11:15:12,231.4453,280.5547
2025-07-07 11:15:11,231.4453,280.5547
2025-07-07 11:15:10,231.4453,280.5547
2025-07-07 11:15:09,231.4453,280.5547
2025-07-07 11:15:08,231.4453,280.5547
2025-07-07 11:15:07,231.4453,280.5547
2025-07-07 11:15:06,231.4453,280.5547
2025-07-07 11:15:05,231.4453,280.5547
2025-07-07 11:15:04,231.4453,280.5547
2025-07-07 11:15:03,231.4453,280.5547
2025-07-07 11:15:02,231.4453,280.5547
2025-07-07 11:15:01,231.4453,280.5547
2025-07-07 11:15:00,231.4453,280.5547
2025-07-07 11:14:59,231.4453,280.5547
2025-07-07 11:14:58,231.4453,280.5547
2025-07-07 11:14:57,231.4453,280.5547
2025-07-07 11:14:56,231.4453,280.5547
2025-07-07 11:14:55,231.4453,280.5547
2025-07-07 11:14:54,231.4453,280.5547
2025-07-07 11:14:53,231.4453,280.5547
2025-07-07 11:14:52,231.4453,280.5547
2025-07-07 11:14:51,231.4453,280.5547
2025-07-07 11:14:50,231.4453,280.5547
2025-07-07 11:14:49,231.4453,280.5547
2025-07-07 11:14:48,231.4453,280.5547
2025-07-07 11:14:47,231.4453,280.5547
2025-07-07 11:14:46,231.4453,280.5547
2025-07-07 11:14:45,231.4453,280.5547
2025-07-07 11:14:44,231.4453,280.5547
2025-07-07 11:14:43,231.4453,280.5547
2025-07-07 11:14:42,231.4453,280.5547
2025-07-07 11:14:41,231.4453,280.5547
2025-07-07 11:14:40,231.4453,280.5547
2025-07-07 11:14:39,231.4453,280.5547
2025-07-07 11:14:38,231.4453,280.5547
2025-07-07 11:14:37,231.4453,280.5547
2025-07-07 11:14:36,231.4453,280.5547
2025-07-07 11:14:35,231.4453,280.5547
2025-07-07 11:14:34,231.4453,280.5547
2025-07-07 11:14:33,231.4453,280.5547
2025-07-07 11:14:32,231.4453,280.5547
2025-07-07 11:14:31,231.4453,280.5547
2025-07-07 11:14:30,231.4453,280.5547
2025-07-07 11:14:29,231.4453,280.5547
2025-07-07 11:14:28,231.4453,280.5547
2025-07-07 11:14:27,231.4453,280.5547
2025-07-07 11:14:26,231.4453,280.5547
2025-07-07 11:14:25,231.4453,280.5547
2025-07-07 11:14:24,231.4453,280.5547
2025-07-07 11:14:23,231.4453,280.5547
2025-07-07 11:14:22,231.4453,280.5547
2025-07-07 11:14:21,231.4453,280.5547
2025-07-07 11:14:20,231.4453,280.5547
2025-07-07 11:14:19,231.4453,280.5547
2025-07-07 11:14:18,231.4453,280.5547
