time,mem_usage_ram,mem_usage_swap,net_fifo_n3_receive,net_fifo_n3_transmit,net_packets_eth0_received,net_packets_eth0_sent,net_packets_eth0_multicast,io_read,io_write,pgfaults_pgfault,pgfaults_swap,mem_anon,mem_kernel_stack,mem_slab,mem_sock,mem_anon_thp,mem_file,net_events_n3_frames,net_events_n3_collisions,net_events_n3_carrier,net_drops_n3_inbound,net_drops_n3_outbound,net_packets_n3_received,net_packets_n3_sent,net_packets_n3_multicast,mem_usage_limit_available,mem_usage_limit_used,cpu_user,cpu_system,net_n3_received,net_n3_sent,mem_utilization_utilization,cpu_limit_used,net_errors_n3_inbound,net_errors_n3_outbound
2025-07-25 22:43:53,176.5156,0,0,0,0.9999365,-0.9999365,0,0,0,0,0,67.62891,0.1875,8.599442,0.0039062,0,351.6953,0,0,0,0,0,0.9999331,-0.9999331,0,335.4844,176.5156,0.0316367,0.0,1.135926,-1.135926,34,0.0308,0,0
2025-07-25 22:43:54,176.5156,0,0,0,0.9993738,-0.9993738,0,0,0,0,0,67.62891,0.1875,8.599442,0.0039062,0,351.6953,0,0,0,0,0,0.9993686,-0.9993686,0,335.4844,176.5156,0.030867,0.0,1.1352853,-1.1352853,34,0.0309,0,0
2025-07-25 22:43:55,176.5156,0,0,0,1.0005002,-1.0005002,0,0,0,0,0,67.62891,0.1875,8.599442,0.0039062,0,351.6953,0,0,0,0,0,1.0005113,-1.0005113,0,335.4844,176.5156,0.0338897,0.0,1.1365763,-1.1365763,34,0.0358,0,0
2025-07-25 22:43:56,176.5156,0,0,0,2.357139,-2.357139,0,0,0,0,0,67.62891,0.1875,8.599442,0.0039062,0,351.6953,0,0,0,0,0,2.35698,-2.35698,0,335.4844,176.5156,0.0363844,0.0,1.5918825,-1.5918825,34,0.0368,0,0
2025-07-25 22:43:57,176.5156,0,0,0,1.6425744,-1.6425744,0,0,0,0,0,67.62891,0.1875,8.599442,0.0039062,0,351.6953,0,0,0,0,0,1.6427191,-1.6427191,0,335.4844,176.5156,0.0331979,0.0,1.3517813,-1.3517813,34,0.031,0,0
2025-07-25 22:43:58,176.5156,0,0,0,1.0001167,-1.0001167,0,0,0,0,0,67.62891,0.1875,8.599442,0.0039062,0,351.6953,0,0,0,0,0,54725.07,-1.0001149,0,335.4844,176.5156,0.0278817,0.0,485969.3,-1.1361302,34,0.0259,0,0
2025-07-25 22:43:59,176.5156,0,0,0,1.0006,-1.0006,0,0,0,0,0,67.62891,0.1875,8.599442,0.0039062,0,351.6953,0,0,0,0,0,219409.2,-1.0006204,0,335.4844,176.5156,0.0210991,0.0,1948375.0,-1.1366966,34,0.0182,0,0
2025-07-25 22:44:00,176.5156,0,0,0,1.0002317,-1.0002317,0,0,0,0,0,67.62891,0.1875,8.599442,0.0039062,0,351.6953,0,0,0,0,0,272183.2,-1.0002379,0,335.4844,176.5156,0.0257003,0.0,2416973.0,-1.1362686,34,0.0302,0,0
2025-07-25 22:44:01,176.5156,0,0,0,0.9996877,-0.9996877,0,0,0,0,0,67.62891,0.1875,8.599442,0.0039062,0,351.6953,0,0,0,0,0,270836.4,-0.9996784,0,335.4844,176.5156,0.0213983,0.0,2405028.0,-1.135638,34,0.0161,0,0
2025-07-25 22:44:02,176.5156,0,0,0,1.0005363,-1.0005363,0,0,0,0,0,67.62891,0.1875,8.599442,0.0039062,0,351.6953,0,0,0,0,0,273398.6,-1.0005511,0,335.4844,176.5156,0.0237521,0.0,2427756.0,-1.1366187,34,0.0284,0,0
2025-07-25 22:44:03,176.5156,0,0,0,1.0000041,-1.0000041,0,0,0,0,0,67.62891,0.1875,8.599442,0.0039062,0,351.6953,0,0,0,0,0,275637.5,-1.0000033,0,335.4844,176.5156,0.0272167,0.0,2447657.0,-1.1360051,34,0.0265,0,0
2025-07-25 22:44:04,176.5156,0,0,0,1.0000763,-1.0000763,0,0,0,0,0,67.62891,0.1875,8.599442,0.0039062,0,351.6953,0,0,0,0,0,272484.4,-1.0000793,0,335.4844,176.5156,0.027457,0.0,2419655.0,-1.1360911,34,0.028,0,0
2025-07-25 22:44:05,176.5156,0,0,0,0.9996835,-0.9996835,0,0,0,0,0,67.62891,0.1875,8.599442,0.0039062,0,351.6953,0,0,0,0,0,265657.5,-0.9996741,0,335.4844,176.5156,0.0225958,0.0072251,2359048.0,-1.1356383,34,0.031,0,0
2025-07-25 22:44:06,176.5156,0,0,0,0.999804,-0.999804,0,0,0,0,0,67.62891,0.1875,8.599442,0.0039062,0,351.6953,0,0,0,0,0,266430.1,-0.9997951,0,335.4844,176.5156,0.018638,0.0117773,2365903.0,-1.1357724,34,0.0301,0,0
2025-07-25 22:44:07,176.5156,0,0,0,0.9999371,-0.9999371,0,0,0,0,0,67.62891,0.1875,8.599442,0.0039062,0,351.6953,0,0,0,0,0,267600.6,-0.9999406,0,335.4844,176.5156,0.0168349,0.0110314,2376270.0,-1.1359251,34,0.0265,0,0
2025-07-25 22:44:08,176.5156,0,0,0,1.0002229,-1.0002229,0,0,0,0,0,67.62891,0.1875,8.599442,0.0039062,0,351.6953,0,0,0,0,0,269522.4,-1.0002312,0,335.4844,176.5156,0.0155271,0.0101429,2393339.0,-1.1362567,34,0.0251,0,0
2025-07-25 22:44:09,176.5156,0,0,0,0.9999654,-0.9999654,0,0,0,0,0,67.62891,0.1875,8.599442,0.0039062,0,351.6953,0,0,0,0,0,267775.7,-0.99995,0,335.4844,176.5156,0.0196517,0.0128467,2377852.0,-1.135949,34,0.0369,0,0
2025-07-25 22:44:10,176.5156,0,0,0,0.9991145,-0.9991145,0,0,0,0,0,67.62891,0.1875,8.599442,0.0039062,0,351.6953,0,0,0,0,0,269635.3,-0.9990998,0,335.4844,176.5156,0.0215471,0.0140981,2394372.0,-1.1349852,34,0.0349,0,0
