time,anon,kernel_stack,slab,sock,anon_thp,file
2025-07-25 22:25:57,67.625,0.1875,8.596863,0.0039062,0,351.6914
2025-07-25 22:25:56,67.625,0.1875,8.596863,0.0039062,0,351.6914
2025-07-25 22:25:55,67.625,0.1875,8.596863,0.0039062,0,351.6914
2025-07-25 22:25:54,67.625,0.1875,8.596863,0.0039062,0,351.6914
2025-07-25 22:25:53,67.625,0.1875,8.596863,0.0039062,0,351.6914
2025-07-25 22:25:52,67.625,0.1875,8.596863,0.0039062,0,351.6914
2025-07-25 22:25:51,67.625,0.1875,8.596863,0.0039062,0,351.6914
2025-07-25 22:25:50,67.625,0.1875,8.596863,0.0039062,0,351.6914
2025-07-25 22:25:49,67.625,0.1875,8.596863,0.0039062,0,351.6914
2025-07-25 22:25:48,67.625,0.1875,8.596863,0.0039062,0,351.6914
2025-07-25 22:25:47,67.625,0.1875,8.596863,0.0039062,0,351.6914
2025-07-25 22:25:46,67.625,0.1875,8.596863,0.0039062,0,351.6914
2025-07-25 22:25:45,67.625,0.1875,8.596863,0.0039062,0,351.6914
2025-07-25 22:25:44,67.625,0.1875,8.596863,0.0039062,0,351.6914
2025-07-25 22:25:43,67.625,0.1875,8.596863,0.0039062,0,351.6914
2025-07-25 22:25:42,67.625,0.1875,8.596863,0.0039062,0,351.6914
2025-07-25 22:25:41,67.625,0.1875,8.596863,0.0039062,0,351.6914
2025-07-25 22:25:40,67.625,0.1875,8.596863,0.0039062,0,351.6914
2025-07-25 22:25:39,67.625,0.1875,8.596863,0.0039062,0,351.6914
2025-07-25 22:25:38,67.625,0.1875,8.596863,0.0039062,0,351.6914
2025-07-25 22:25:37,67.625,0.1875,8.596863,0.0039062,0,351.6914
2025-07-25 22:25:36,67.625,0.1875,8.596863,0.0039062,0,351.6914
2025-07-25 22:25:35,67.625,0.1875,8.596863,0.0039062,0,351.6914
2025-07-25 22:25:34,67.625,0.1875,8.596863,0.0039062,0,351.6914
2025-07-25 22:25:33,67.625,0.1875,8.596863,0.0039062,0,351.6914
2025-07-25 22:25:32,67.625,0.1875,8.596863,0.0039062,0,351.6914
2025-07-25 22:25:31,67.625,0.1875,8.596863,0.0039062,0,351.6914
2025-07-25 22:25:30,67.625,0.1875,8.596863,0.0039062,0,351.6914
2025-07-25 22:25:29,67.625,0.1875,8.596863,0.0039062,0,351.6914
2025-07-25 22:25:28,67.625,0.1875,8.596863,0.0039062,0,351.6914
2025-07-25 22:25:27,67.625,0.1875,8.596863,0.0039062,0,351.6914
2025-07-25 22:25:26,67.625,0.1875,8.596863,0.0039062,0,351.6914
2025-07-25 22:25:25,67.625,0.1875,8.596863,0.0039062,0,351.6914
2025-07-25 22:25:24,67.625,0.1875,8.596863,0.0039062,0,351.6914
2025-07-25 22:25:23,67.625,0.1875,8.596863,0.0039062,0,351.6914
2025-07-25 22:25:22,67.625,0.1875,8.596863,0.0039062,0,351.6914
2025-07-25 22:25:21,67.625,0.1875,8.596863,0.0039062,0,351.6914
2025-07-25 22:25:20,67.625,0.1875,8.596863,0.0039062,0,351.6914
2025-07-25 22:25:19,67.625,0.1875,8.596863,0.0039062,0,351.6914
2025-07-25 22:25:18,67.625,0.1875,8.596863,0.0039062,0,351.6914
2025-07-25 22:25:17,67.625,0.1875,8.596863,0.0039062,0,351.6914
2025-07-25 22:25:16,67.625,0.1875,8.596863,0.0039062,0,351.6914
2025-07-25 22:25:15,67.625,0.1875,8.596863,0.0039062,0,351.6914
2025-07-25 22:25:14,67.625,0.1875,8.596863,0.0039062,0,351.6914
2025-07-25 22:25:13,67.625,0.1875,8.596863,0.0039062,0,351.6914
2025-07-25 22:25:12,67.625,0.1875,8.596863,0.0039062,0,351.6914
2025-07-25 22:25:11,67.625,0.1875,8.596863,0.0039062,0,351.6914
2025-07-25 22:25:10,67.625,0.1875,8.596863,0.0039062,0,351.6914
