time,available,used
2025-07-25 22:30:17,335.4688,176.5312
2025-07-25 22:30:16,335.4688,176.5312
2025-07-25 22:30:15,335.4688,176.5312
2025-07-25 22:30:14,335.4688,176.5312
2025-07-25 22:30:13,335.4688,176.5312
2025-07-25 22:30:12,335.4688,176.5312
2025-07-25 22:30:11,335.4688,176.5312
2025-07-25 22:30:10,335.4688,176.5312
2025-07-25 22:30:09,335.4688,176.5312
2025-07-25 22:30:08,335.4688,176.5312
2025-07-25 22:30:07,335.4688,176.5312
2025-07-25 22:30:06,335.4688,176.5312
2025-07-25 22:30:05,335.4688,176.5312
2025-07-25 22:30:04,335.4688,176.5312
2025-07-25 22:30:03,335.4688,176.5312
2025-07-25 22:30:02,335.4688,176.5312
2025-07-25 22:30:01,335.4688,176.5312
2025-07-25 22:30:00,335.4688,176.5312
2025-07-25 22:29:59,335.4688,176.5312
2025-07-25 22:29:58,335.4688,176.5312
2025-07-25 22:29:57,335.4688,176.5312
2025-07-25 22:29:56,335.4688,176.5312
2025-07-25 22:29:55,335.4688,176.5312
2025-07-25 22:29:54,335.4688,176.5312
2025-07-25 22:29:53,335.4688,176.5312
2025-07-25 22:29:52,335.4688,176.5312
2025-07-25 22:29:51,335.4688,176.5312
2025-07-25 22:29:50,335.4688,176.5312
2025-07-25 22:29:49,335.4688,176.5312
2025-07-25 22:29:48,335.4688,176.5312
2025-07-25 22:29:47,335.4688,176.5312
2025-07-25 22:29:46,335.4688,176.5312
2025-07-25 22:29:45,335.4688,176.5312
2025-07-25 22:29:44,335.4688,176.5312
2025-07-25 22:29:43,335.4688,176.5312
2025-07-25 22:29:42,335.4688,176.5312
2025-07-25 22:29:41,335.4688,176.5312
2025-07-25 22:29:40,335.4688,176.5312
2025-07-25 22:29:39,335.4688,176.5312
2025-07-25 22:29:38,335.4688,176.5312
2025-07-25 22:29:37,335.4688,176.5312
2025-07-25 22:29:36,335.4688,176.5312
2025-07-25 22:29:35,335.4688,176.5312
2025-07-25 22:29:34,335.4688,176.5312
2025-07-25 22:29:33,335.4688,176.5312
