time,available,used
2025-07-25 22:51:10,335.4648,176.5352
2025-07-25 22:51:09,335.4648,176.5352
2025-07-25 22:51:08,335.4648,176.5352
2025-07-25 22:51:07,335.4648,176.5352
2025-07-25 22:51:06,335.4648,176.5352
2025-07-25 22:51:05,335.4648,176.5352
2025-07-25 22:51:04,335.4648,176.5352
2025-07-25 22:51:03,335.4648,176.5352
2025-07-25 22:51:02,335.4648,176.5352
2025-07-25 22:51:01,335.4648,176.5352
2025-07-25 22:51:00,335.4648,176.5352
2025-07-25 22:50:59,335.4648,176.5352
2025-07-25 22:50:58,335.4648,176.5352
2025-07-25 22:50:57,335.4648,176.5352
2025-07-25 22:50:56,335.4648,176.5352
2025-07-25 22:50:55,335.4648,176.5352
2025-07-25 22:50:54,335.4648,176.5352
2025-07-25 22:50:53,335.4648,176.5352
2025-07-25 22:50:52,335.4648,176.5352
2025-07-25 22:50:51,335.4648,176.5352
2025-07-25 22:50:50,335.4648,176.5352
2025-07-25 22:50:49,335.4648,176.5352
2025-07-25 22:50:48,335.4648,176.5352
2025-07-25 22:50:47,335.4648,176.5352
2025-07-25 22:50:46,335.4648,176.5352
2025-07-25 22:50:45,335.4648,176.5352
2025-07-25 22:50:44,335.4648,176.5352
2025-07-25 22:50:43,335.4648,176.5352
2025-07-25 22:50:42,335.4648,176.5352
2025-07-25 22:50:41,335.4648,176.5352
2025-07-25 22:50:40,335.4648,176.5352
2025-07-25 22:50:39,335.4648,176.5352
2025-07-25 22:50:38,335.4648,176.5352
2025-07-25 22:50:37,335.4648,176.5352
2025-07-25 22:50:36,335.4648,176.5352
2025-07-25 22:50:35,335.4648,176.5352
2025-07-25 22:50:34,335.4648,176.5352
2025-07-25 22:50:33,335.4648,176.5352
